"cityName","dataTime","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value","lon","lat"
"동대문구","2018-07-26 07:00","0.007","0.5","0.012","0.023","37","27",127.0400189,37.5743682
"동대문구","2018-07-25 16:00","0.007","0.6","0.067","0.014","32","28",127.0400189,37.5743682
"동대문구","2018-07-26 08:00","0.007","0.6","0.011","0.021","32","25",127.0400189,37.5743682
"동대문구","2018-07-26 09:00","0.009","0.6","0.014","0.022","31","25",127.0400189,37.5743682
"동대문구","2018-07-26 02:00","0.007","0.6","0.008","0.011","31","22",127.0400189,37.5743682
"동대문구","2018-07-25 11:00","0.006","0.5","0.034","0.017","26","24",127.0400189,37.5743682
"동대문구","2018-07-26 05:00","0.008","0.6","0.013","0.017","35","25",127.0400189,37.5743682
"동대문구","2018-07-25 20:00","0.009","0.5","0.036","0.022","30","24",127.0400189,37.5743682
"동대문구","2018-07-26 01:00","0.008","0.6","0.007","0.026","30","19",127.0400189,37.5743682
"동대문구","2018-07-26 03:00","0.008","0.4","0.018","0.006","27","18",127.0400189,37.5743682
"동대문구","2018-07-25 15:00","0.007","0.6","0.073","0.014","31","27",127.0400189,37.5743682
"동대문구","2018-07-25 23:00","0.008","0.5","0.013","0.011","35","23",127.0400189,37.5743682
"동대문구","2018-07-25 24:00","0.008","0.5","0.011","0.005","30","22",127.0400189,37.5743682
"동대문구","2018-07-25 22:00","0.008","0.6","0.016","0.031","36","25",127.0400189,37.5743682
"동대문구","2018-07-25 21:00","0.008","0.6","0.020","0.031","30","29",127.0400189,37.5743682
"동작구","2018-07-26 04:00","0.004","0.3","0.015","0.011","36","19",126.9392525,37.512402
"동작구","2018-07-25 10:00","0.004","0.3","0.028","0.012","30","16",126.9392525,37.512402
"동작구","2018-07-26 03:00","0.004","0.2","0.014","0.012","36","19",126.9392525,37.512402
"동작구","2018-07-26 06:00","0.004","0.3","0.007","0.019","45","24",126.9392525,37.512402
"동작구","2018-07-25 12:00","0.004","0.3","0.038","0.010","35","19",126.9392525,37.512402
"동작구","2018-07-25 18:00","0.004","0.3","0.047","0.011","38","19",126.9392525,37.512402
"동작구","2018-07-25 14:00","0.004","0.3","0.057","0.009","36","21",126.9392525,37.512402
"동작구","2018-07-25 20:00","0.004","0.3","0.031","0.017","36","18",126.9392525,37.512402
"동작구","2018-07-26 02:00","0.004","0.2","0.017","0.010","38","19",126.9392525,37.512402
"동작구","2018-07-26 05:00","0.005","0.3","0.010","0.016","43","23",126.9392525,37.512402
"동작구","2018-07-25 16:00","0.004","0.3","0.052","0.010","38","21",126.9392525,37.512402
"동작구","2018-07-25 17:00","0.004","0.3","0.051","0.010","38","18",126.9392525,37.512402
"동작구","2018-07-25 13:00","0.004","0.3","0.045","0.010","39","24",126.9392525,37.512402
"동작구","2018-07-25 11:00","0.004","0.3","0.033","0.012","33","14",126.9392525,37.512402
"동작구","2018-07-26 08:00","0.004","0.4","0.010","0.021","39","20",126.9392525,37.512402
"동작구","2018-07-26 01:00","0.004","0.3","0.016","0.012","38","18",126.9392525,37.512402
"동작구","2018-07-26 07:00","0.004","0.3","0.008","0.022","44","24",126.9392525,37.512402
"동작구","2018-07-25 15:00","0.004","0.3","0.058","0.011","36","22",126.9392525,37.512402
"동작구","2018-07-25 22:00","0.004","0.3","0.016","0.025","38","17",126.9392525,37.512402
"동작구","2018-07-25 24:00","0.004","0.3","0.012","0.021","38","18",126.9392525,37.512402
"동작구","2018-07-25 19:00","0.004","0.3","0.042","0.013","35","20",126.9392525,37.512402
"동작구","2018-07-26 09:00","0.004","0.3","0.013","0.020","37","20",126.9392525,37.512402
"동작구","2018-07-25 21:00","0.004","0.3","0.022","0.023","41","20",126.9392525,37.512402
