obs,time(UTC),latitude(degrees_north),longitude(degrees_east),ship_id_mmsi,navigational_status,speed_over_ground(kts),course_over_ground(deg),true_heading(deg),rate_of_turn(degrees minutes-1),position_accuracy
160,2011-08-03T10:16:02Z,21.30997,-157.87102,367034960,0,0,262.7,511,-128,0
161,2011-08-03T10:16:06Z,21.30993,-157.86815,367309120,0,0,108,511,-128,0
162,2011-08-03T10:16:06Z,21.99842,-164.74438,367311350,0,15.3,102,101,0,0
163,2011-08-03T10:16:06Z,5.25766,-158.91563,440858000,0,4.7,88.7,511,-128,1
164,2011-08-03T10:16:06Z,21.95948,-171.94221,538002477,0,12.2,113.9,113,0,0
165,2011-08-03T10:16:14Z,21.7835,-169.54466,355040000,0,15,283,284,0,0
166,2011-08-03T10:16:14Z,20.19623,-155.37468,367080250,0,7.9,124.1,511,-128,0
167,2011-08-03T10:16:14Z,30.84412,-164.12097,636090755,0,14.9,268.4,269,8,0
168,2011-08-03T10:16:30Z,33.9918,-162.46979,354591000,0,18.3,91,92,0,1
169,2011-08-03T10:16:30Z,20.47885,-165.2064,367438000,0,21.1,262,264,6,0
170,2011-08-03T10:16:30Z,5.42868,-159.44862,440517000,0,3.9,274.1,277,0,0
171,2011-08-03T10:16:30Z,23.60265,-171.27284,636092101,0,17.7,296,511,-128,0
172,2011-08-03T10:16:42Z,21.2802,-156.83022,212286000,0,15.8,90.5,92,0,1
173,2011-08-03T10:16:42Z,21.31001,-157.87102,367034960,0,0,268.2,511,-128,0
174,2011-08-03T10:17:24Z,20.47814,-165.212,367438000,0,20.9,262,264,-7,0
175,2011-08-03T10:17:24Z,23.60464,-171.2772,636092101,0,17.8,295,511,-128,0
176,2011-08-03T10:17:42Z,24.20513,-153.49048,352740000,0,11.9,298,299,0,1
177,2011-08-03T10:17:42Z,22.89152,-166.12143,369565000,0,11.3,62.1,62,16,0
178,2011-08-03T10:17:42Z,23.60532,-171.27873,636092101,0,17.7,295,511,-128,0
179,2011-08-03T10:17:54Z,28.96355,-169.31538,256478000,0,12.4,99.5,99,-7,0
180,2011-08-03T10:17:54Z,5.50103,-155.86024,440612000,0,3.8,266.9,511,-128,1
181,2011-08-03T10:17:56Z,32.99336,-155.65953,371958000,0,14,279.1,278,0,0
182,2011-08-03T10:18:22Z,27.47568,-175.82448,369961000,0,9.9,288.2,288,-127,0
183,2011-08-03T10:18:42Z,29.99908,-175.56834,353382000,0,16.4,89.1,90,0,0
184,2011-08-03T10:19:00Z,29.99908,-175.56677,353382000,0,16.5,89.8,90,0,0
185,2011-08-03T10:19:42Z,24.20848,-153.4969,352740000,0,12,298,298,0,1
186,2011-08-03T10:20:12Z,21.3099,-157.86871,367056982,0,0.1,270,511,-128,0
187,2011-08-03T10:20:34Z,34.08305,-176.32156,367683000,0,20.1,248.1,250,0,1
188,2011-08-03T10:20:38Z,21.27987,-156.81189,212286000,0,15.9,90.9,92,0,1
189,2011-08-03T10:20:48Z,25.32128,-170.97784,303999000,0,9.8,295.1,296,0,0
190,2011-08-03T10:20:48Z,21.994,-164.72325,367311350,0,15.3,102,101,0,0
191,2011-08-03T10:21:16Z,25.32189,-170.97922,303999000,0,9.9,296.3,297,0,0
192,2011-08-03T10:21:16Z,21.9525,-171.92487,538002477,0,12.2,113.5,113,0,0
193,2011-08-03T10:21:32Z,21.78867,-169.56818,355040000,0,15.2,283,284,-127,0
194,2011-08-03T10:21:32Z,30.84352,-164.14703,636090755,0,15,269.1,269,16,0
195,2011-08-03T10:21:34Z,21.18489,-157.74638,367015060,0,9,125.6,511,-128,0
196,2011-08-03T10:21:58Z,34.99837,-176.2102,477877000,0,13.3,89,90,0,1
197,2011-08-03T10:22:06Z,21.99282,-164.71764,367311350,0,15.3,102,101,-5,0
198,2011-08-03T10:22:38Z,21.78967,-169.57283,355040000,0,15.2,282,283,0,0
199,2011-08-03T10:22:58Z,34.078,-176.33661,367683000,0,20.2,248.1,249,0,1
200,2011-08-03T10:22:58Z,31.99914,-162.23672,376265000,0,12.3,269.6,270,0,0
201,2011-08-03T10:23:12Z,23.61765,-171.30505,636092101,0,17.7,296,511,-128,0
202,2011-08-03T10:25:26Z,21.94691,-171.91101,538002477,0,12.1,111,111,0,0
203,2011-08-03T09:43:24Z,5.41648,-166.36948,477089900,0,10.9,303.9,303,0,0
204,2011-08-03T09:44:30Z,7.03442,-174.23615,354469000,0,14.7,83.6,342,0,0
205,2011-08-03T09:46:42Z,5.42212,-166.37778,477089900,0,10.8,301.3,302,0,0
206,2011-08-03T09:47:58Z,5.64413,-158.69994,355713000,0,13.4,111,112,0,1
207,2011-08-03T09:48:04Z,5.25648,-158.95837,440858000,0,6.6,99.3,511,-128,1
208,2011-08-03T09:48:04Z,20.66746,-166.8217,416444000,8,10.5,82,86,0,0
209,2011-08-03T09:48:38Z,23.92515,-161.27296,636009881,0,12.4,130,131,0,1
210,2011-08-03T09:48:42Z,5.25306,-160.1397,440792000,3,3.2,298.6,511,-128,0
211,2011-08-03T09:48:42Z,5.51004,-154.2472,440298000,0,2.5,110.7,110,0,0
212,2011-08-03T09:49:36Z,23.92277,-161.27008,636009881,0,12.4,132,130,0,1
213,2011-08-03T09:49:36Z,5.64185,-158.69414,355713000,0,13.4,110,112,0,1
214,2011-08-03T09:50:04Z,19.85062,-164.9335,372325000,0,13.7,112,109,-7,1
215,2011-08-03T09:50:04Z,20.55197,-157.84995,319605000,0,13,275,275,13,0
216,2011-08-03T09:50:12Z,20.50052,-165.04288,367438000,0,21.2,262,264,-9,0
217,2011-08-03T09:50:12Z,21.02133,-157.08038,367119160,0,8.4,277.6,276,-127,0
218,2011-08-03T09:50:24Z,20.50036,-165.04424,367438000,0,21.3,263,263,-3,0
219,2011-08-03T09:50:24Z,5.42832,-166.38707,477089900,0,10.8,303.2,301,0,0
220,2011-08-03T09:50:34Z,30.84588,-163.99542,636090755,0,14.8,268.3,268,5,0
221,2011-08-03T09:50:34Z,21.02145,-157.08125,367119160,0,8.5,278.2,276,0,0
222,2011-08-03T09:50:46Z,21.30999,-157.86821,367309120,0,0.1,103,511,-128,0
223,2011-08-03T09:50:46Z,21.75983,-169.43217,355040000,0,14.7,282,284,0,0
224,2011-08-03T09:50:46Z,21.20246,-158.0359,305676000,0,11,95.8,91,0,0
225,2011-08-03T09:50:50Z,22.02283,-164.8596,367311350,0,15.3,102,101,5,0
226,2011-08-03T09:50:54Z,21.96927,-168.93736,249731000,0,16.1,277,277,0,1
227,2011-08-03T09:51:06Z,21.96935,-168.93825,249731000,0,16.1,276,279,0,1
228,2011-08-03T09:51:06Z,21.31,-157.8682,367309120,0,0,234,511,-128,0
229,2011-08-03T09:51:06Z,20.49983,-165.04858,367438000,0,21,262,263,10,0
230,2011-08-03T09:51:10Z,30.8458,-163.99835,636090755,0,14.7,268.7,269,13,0
231,2011-08-03T09:51:10Z,29.3234,-153.73566,367008740,0,7.2,34.2,511,-128,0
232,2011-08-03T09:51:14Z,30.66067,-152.46832,367010000,0,9.4,28.9,31,0,1
233,2011-08-03T09:51:14Z,20.16983,-155.28891,367309680,0,6.7,319.6,314,0,0
234,2011-08-03T09:51:14Z,21.13333,-157.641,367151210,0,5,119.6,511,-128,0
235,2011-08-03T09:51:14Z,21.31,-157.8682,367309120,0,0.1,272,511,-128,0
236,2011-08-03T09:51:18Z,22.33458,-154.45552,238234000,0,14,70,71,0,0
237,2011-08-03T09:51:18Z,23.54707,-171.15056,636092101,0,17.6,296,511,-128,0
238,2011-08-03T09:51:24Z,21.31645,-157.8767,366606000,0,0,210.3,27,0,0
239,2011-08-03T09:51:24Z,17.16557,-170.84357,403508000,0,14,266,265,0,1
240,2011-08-03T09:51:24Z,20.91507,-159.10426,246663000,0,15.7,286.1,285,13,1
241,2011-08-03T09:51:28Z,21.90018,-159.58852,369970083,0,0.1,208.4,511,-128,0
242,2011-08-03T09:51:28Z,19.84852,-164.92802,372325000,0,13.8,113,109,0,0
243,2011-08-03T09:51:44Z,19.84823,-164.92735,372325000,0,13.6,111,108,7,0
244,2011-08-03T09:51:52Z,21.31644,-157.8767,366606000,0,0,210.3,28,0,0
245,2011-08-03T09:51:52Z,30.84573,-164.0016,636090755,0,14.7,267.7,269,18,0
246,2011-08-03T09:51:52Z,20.4565,-155.802,366994450,0,10.8,232.4,233,0,1
247,2011-08-03T09:51:56Z,31.00473,-165.18687,215453000,0,13.5,270,268,0,1
248,2011-08-03T09:51:56Z,29.99821,-175.70969,353382000,0,16.4,91.4,91,-127,0
249,2011-08-03T09:52:12Z,22.33578,-154.45183,238234000,0,14.1,71,71,0,0
250,2011-08-03T09:52:12Z,19.70339,-157.36333,412360000,0,11.4,341.6,347,0,1
251,2011-08-03T09:52:12Z,20.49895,-165.05534,367438000,0,21.4,262,264,11,0
252,2011-08-03T09:52:20Z,21.30989,-157.86873,367056982,0,0.1,287.7,511,-128,0
253,2011-08-03T09:52:20Z,21.31,-157.87099,367034960,0,0,302.2,511,-128,0
254,2011-08-03T09:52:26Z,23.70235,-152.3013,367196000,0,22.3,244.5,244,0,0
255,2011-08-03T09:52:26Z,21.99232,-172.02312,538002477,0,12.2,111.1,112,0,0
256,2011-08-03T09:52:28Z,19.70425,-157.36359,412360000,0,11.2,343.6,346,-127,1
257,2011-08-03T09:52:34Z,21.0222,-157.0862,367119160,0,8.5,280.2,277,0,0
258,2011-08-03T09:52:36Z,31.99982,-162.11365,376265000,0,12.1,268.7,269,0,0
259,2011-08-03T09:52:36Z,30.66383,-152.4665,367010000,0,9.1,28,32,0,1
260,2011-08-03T09:52:54Z,22.33663,-154.44917,238234000,0,14.1,71,71,0,0
261,2011-08-03T09:52:54Z,21.02234,-157.08704,367119160,0,8.5,281.8,277,0,0
262,2011-08-03T09:53:14Z,30.66523,-152.46555,367010000,0,9.1,26.9,31,0,1
263,2011-08-03T09:53:32Z,30.84557,-164.0098,636090755,0,14.8,268.3,268,-14,0
264,2011-08-03T09:53:32Z,21.02257,-157.0887,367119160,0,8.6,279.8,277,127,0
265,2011-08-03T09:53:44Z,21.3102,-157.8698,367309830,11,0,275.9,511,-128,1
266,2011-08-03T09:55:00Z,31.25943,-153.63779,352476000,0,14.7,292,293,0,0
267,2011-08-03T09:55:00Z,20.49656,-165.0728,367438000,0,21.2,262,262,-6,0
268,2011-08-03T09:55:10Z,21.31002,-157.8689,366972620,0,0,316.9,511,-128,0
269,2011-08-03T09:55:16Z,31.99967,-162.12427,376265000,0,12.1,269.9,271,0,0
270,2011-08-03T09:55:22Z,21.72597,-158.8764,367133450,0,6.9,119,119,0,0
271,2011-08-03T09:55:36Z,33.7155,-152.3147,563934000,0,18.4,298.1,298,0,0
272,2011-08-03T09:55:36Z,33.99262,-162.59962,354591000,0,18.5,88,90,0,1
273,2011-08-03T09:56:12Z,23.69224,-152.32436,367196000,0,22.3,244.5,245,0,0
274,2011-08-03T09:56:18Z,22.34098,-154.43552,238234000,0,14.1,71,71,0,0
275,2011-08-03T09:56:34Z,33.69833,-153.85683,372049000,0,11.8,279.3,278,0,0
276,2011-08-03T09:57:06Z,22.34207,-154.43204,238234000,0,14.1,71,71,0,0
277,2011-08-03T11:25:26Z,21.87387,-171.7089,538002477,0,12,110.9,109,0,0
278,2011-08-03T11:25:32Z,21.85333,-169.85117,355040000,0,15.2,284,284,0,0
279,2011-08-03T11:25:40Z,17.13723,-171.2229,403508000,0,14.1,265,264,0,1
280,2011-08-03T11:25:58Z,21.85367,-169.85283,355040000,0,15.1,284,284,0,0
281,2011-08-03T11:26:12Z,27.5592,-176.00812,369961000,0,9.7,298.8,293,-127,0
282,2011-08-03T11:26:12Z,20.42239,-165.635,367438000,0,21,261,261,-7,0
283,2011-08-03T11:26:36Z,25.3996,-171.15453,303999000,0,10.2,294.9,296,0,0
284,2011-08-03T11:26:38Z,21.92975,-164.42741,367311350,0,15.5,103,101,-5,0
285,2011-08-03T11:26:40Z,21.85433,-169.85617,355040000,0,15.1,283,284,0,0
286,2011-08-03T11:26:40Z,17.13692,-171.22697,403508000,0,14.1,265,264,0,1
287,2011-08-03T11:27:04Z,17.13678,-171.22862,403508000,0,14.1,265,264,0,1
